sample,time_us,raw,mv
0,-2550,2427,1955.824
1,-2540,2410,1942.125
2,-2530,2410,1942.125
3,-2520,2408,1940.513
4,-2510,2409,1941.319
5,-2500,2373,1912.308
6,-2490,2402,1935.678
7,-2480,2424,1953.407
8,-2470,2436,1963.077
9,-2460,2412,1943.736
10,-2450,2422,1951.795
11,-2440,2426,1955.018
12,-2430,2386,1922.784
13,-2420,2392,1927.619
14,-2410,2368,1908.278
15,-2400,2387,1923.590
16,-2390,2368,1908.278
17,-2380,2376,1914.725
18,-2370,2377,1915.531
19,-2360,2384,1921.172
20,-2350,2417,1947.766
21,-2340,2379,1917.143
22,-2330,2388,1924.396
23,-2320,2380,1917.949
24,-2310,2376,1914.725
25,-2300,2404,1937.289
26,-2290,2408,1940.513
27,-2280,2415,1946.154
28,-2270,2431,1959.048
29,-2260,2413,1944.542
30,-2250,2378,1916.337
31,-2240,2349,1892.967
32,-2230,2372,1911.502
33,-2220,2393,1928.425
34,-2210,2403,1936.484
35,-2200,2414,1945.348
36,-2190,2425,1954.212
37,-2180,2411,1942.930
38,-2170,2426,1955.018
39,-2160,2380,1917.949
40,-2150,2381,1918.755
41,-2140,2380,1917.949
42,-2130,2382,1919.560
43,-2120,2407,1939.707
44,-2110,2403,1936.484
45,-2100,2430,1958.242
46,-2090,2446,1971.136
47,-2080,2426,1955.018
48,-2070,2414,1945.348
49,-2060,2418,1948.571
50,-2050,2412,1943.736
51,-2040,2412,1943.736
52,-2030,2425,1954.212
53,-2020,2402,1935.678
54,-2010,2453,1976.777
55,-2000,2396,1930.842
56,-1990,2360,1901.832
57,-1980,2378,1916.337
58,-1970,2396,1930.842
59,-1960,2399,1933.260
60,-1950,2383,1920.366
61,-1940,2357,1899.414
62,-1930,2366,1906.667
63,-1920,2382,1919.560
64,-1910,2378,1916.337
65,-1900,2347,1891.355
66,-1890,2354,1896.996
67,-1880,2334,1880.879
68,-1870,2339,1884.908
69,-1860,2365,1905.861
70,-1850,2360,1901.832
71,-1840,2382,1919.560
72,-1830,2355,1897.802
73,-1820,2382,1919.560
74,-1810,2374,1913.114
75,-1800,2364,1905.055
76,-1790,2368,1908.278
77,-1780,2362,1903.443
78,-1770,2392,1927.619
79,-1760,2406,1938.901
80,-1750,2364,1905.055
81,-1740,2380,1917.949
82,-1730,2364,1905.055
83,-1720,2381,1918.755
84,-1710,2371,1910.696
85,-1700,2388,1924.396
86,-1690,2351,1894.579
87,-1680,2397,1931.648
88,-1670,2418,1948.571
89,-1660,2402,1935.678
90,-1650,2424,1953.407
91,-1640,2395,1930.037
92,-1630,2425,1954.212
93,-1620,2420,1950.183
94,-1610,2395,1930.037
95,-1600,2378,1916.337
96,-1590,2396,1930.842
97,-1580,2386,1922.784
98,-1570,2364,1905.055
99,-1560,2356,1898.608
100,-1550,2358,1900.220
101,-1540,2382,1919.560
102,-1530,2362,1903.443
103,-1520,2337,1883.297
104,-1510,2360,1901.832
105,-1500,2382,1919.560
106,-1490,2382,1919.560
107,-1480,2405,1938.095
108,-1470,2414,1945.348
109,-1460,2404,1937.289
110,-1450,2408,1940.513
111,-1440,2406,1938.901
112,-1430,2420,1950.183
113,-1420,2420,1950.183
114,-1410,2386,1922.784
115,-1400,2412,1943.736
116,-1390,2393,1928.425
117,-1380,2351,1894.579
118,-1370,2358,1900.220
119,-1360,2366,1906.667
120,-1350,2386,1922.784
121,-1340,2386,1922.784
122,-1330,2378,1916.337
123,-1320,2411,1942.930
124,-1310,2397,1931.648
125,-1300,2412,1943.736
126,-1290,2434,1961.465
127,-1280,2428,1956.630
128,-1270,2396,1930.842
129,-1260,2399,1933.260
130,-1250,2433,1960.659
131,-1240,2370,1909.890
132,-1230,2364,1905.055
133,-1220,2376,1914.725
134,-1210,2357,1899.414
135,-1200,2334,1880.879
136,-1190,2360,1901.832
137,-1180,2378,1916.337
138,-1170,2412,1943.736
139,-1160,2420,1950.183
140,-1150,2408,1940.513
141,-1140,2374,1913.114
142,-1130,2384,1921.172
143,-1120,2388,1924.396
144,-1110,2353,1896.190
145,-1100,2375,1913.919
146,-1090,2388,1924.396
147,-1080,2367,1907.473
148,-1070,2374,1913.114
149,-1060,2395,1930.037
150,-1050,2388,1924.396
151,-1040,2375,1913.919
152,-1030,2396,1930.842
153,-1020,2381,1918.755
154,-1010,2386,1922.784
155,-1000,2392,1927.619
156,-990,2383,1920.366
157,-980,2398,1932.454
158,-970,2414,1945.348
159,-960,2368,1908.278
160,-950,2394,1929.231
161,-940,2365,1905.861
162,-930,2342,1887.326
163,-920,2365,1905.861
164,-910,2349,1892.967
165,-900,2375,1913.919
166,-890,2315,1865.568
167,-880,2349,1892.967
168,-870,2386,1922.784
169,-860,2386,1922.784
170,-850,2388,1924.396
171,-840,2386,1922.784
172,-830,2400,1934.066
173,-820,2406,1938.901
174,-810,2384,1921.172
175,-800,2410,1942.125
176,-790,2412,1943.736
177,-780,2405,1938.095
178,-770,2421,1950.989
179,-760,2392,1927.619
180,-750,2388,1924.396
181,-740,2349,1892.967
182,-730,2339,1884.908
183,-720,2336,1882.491
184,-710,2360,1901.832
185,-700,2382,1919.560
186,-690,2351,1894.579
187,-680,2359,1901.026
188,-670,2390,1926.007
189,-660,2392,1927.619
190,-650,2406,1938.901
191,-640,2408,1940.513
192,-630,2408,1940.513
193,-620,2422,1951.795
194,-610,2433,1960.659
195,-600,2442,1967.912
196,-590,2424,1953.407
197,-580,2394,1929.231
198,-570,2409,1941.319
199,-560,2386,1922.784
200,-550,2399,1933.260
201,-540,2387,1923.590
202,-530,2393,1928.425
203,-520,2386,1922.784
204,-510,2364,1905.055
205,-500,2391,1926.813
206,-490,2368,1908.278
207,-480,2350,1893.773
208,-470,2346,1890.549
209,-460,2368,1908.278
210,-450,2334,1880.879
211,-440,2360,1901.832
212,-430,2338,1884.103
213,-420,2368,1908.278
214,-410,2403,1936.484
215,-400,2361,1902.637
216,-390,2362,1903.443
217,-380,2399,1933.260
218,-370,2386,1922.784
219,-360,2396,1930.842
220,-350,2404,1937.289
221,-340,2414,1945.348
222,-330,2398,1932.454
223,-320,2409,1941.319
224,-310,2416,1946.960
225,-300,2374,1913.114
226,-290,2394,1929.231
227,-280,2381,1918.755
228,-270,2402,1935.678
229,-260,2397,1931.648
230,-250,2371,1910.696
231,-240,2358,1900.220
232,-230,2383,1920.366
233,-220,2408,1940.513
234,-210,2399,1933.260
235,-200,2391,1926.813
236,-190,2381,1918.755
237,-180,2350,1893.773
238,-170,2363,1904.249
239,-160,2398,1932.454
240,-150,2405,1938.095
241,-140,2399,1933.260
242,-130,2404,1937.289
243,-120,2412,1943.736
244,-110,2444,1969.524
245,-100,2402,1935.678
246,-90,2406,1938.901
247,-80,2374,1913.114
248,-70,2389,1925.201
249,-60,2384,1921.172
250,-50,2346,1890.549
251,-40,2378,1916.337
252,-30,1646,1326.447
253,-20,1702,1371.575
254,-10,1868,1505.348
255,0,1940,1563.370
256,10,2308,1859.927
257,20,2310,1861.538
258,30,2365,1905.861
259,40,2362,1903.443
260,50,2336,1882.491
261,60,2351,1894.579
262,70,2356,1898.608
263,80,2377,1915.531
264,90,2436,1963.077
265,100,2421,1950.989
266,110,2382,1919.560
267,120,2416,1946.960
268,130,2385,1921.978
269,140,2366,1906.667
270,150,2380,1917.949
271,160,2417,1947.766
272,170,2384,1921.172
273,180,2385,1921.978
274,190,2438,1964.689
275,200,2414,1945.348
276,210,2428,1956.630
277,220,2408,1940.513
278,230,2414,1945.348
279,240,2416,1946.960
280,250,2427,1955.824
281,260,2387,1923.590
282,270,2385,1921.978
283,280,2366,1906.667
284,290,2392,1927.619
285,300,2389,1925.201
286,310,2408,1940.513
287,320,2379,1917.143
288,330,2365,1905.861
289,340,2367,1907.473
290,350,2396,1930.842
291,360,2372,1911.502
292,370,2385,1921.978
293,380,2378,1916.337
294,390,2370,1909.890
295,400,2338,1884.103
296,410,2366,1906.667
297,420,2362,1903.443
298,430,2322,1871.209
299,440,2346,1890.549
300,450,2348,1892.161
301,460,2341,1886.520
302,470,2368,1908.278
303,480,2338,1884.103
304,490,2374,1913.114
305,500,2371,1910.696
306,510,2353,1896.190
307,520,2397,1931.648
308,530,2400,1934.066
309,540,2409,1941.319
310,550,2384,1921.172
311,560,2380,1917.949
312,570,2389,1925.201
313,580,2375,1913.919
314,590,2372,1911.502
315,600,2377,1915.531
316,610,2366,1906.667
317,620,2402,1935.678
318,630,2382,1919.560
319,640,2356,1898.608
320,650,2355,1897.802
321,660,2408,1940.513
322,670,2395,1930.037
323,680,2436,1963.077
324,690,2434,1961.465
325,700,2445,1970.330
326,710,2410,1942.125
327,720,2394,1929.231
328,730,2392,1927.619
329,740,2408,1940.513
330,750,2402,1935.678
331,760,2414,1945.348
332,770,2414,1945.348
333,780,2426,1955.018
334,790,2421,1950.989
335,800,2424,1953.407
336,810,2413,1944.542
337,820,2375,1913.919
338,830,2360,1901.832
339,840,2344,1888.938
340,850,2342,1887.326
341,860,2353,1896.190
342,870,2377,1915.531
343,880,2382,1919.560
344,890,2332,1879.267
345,900,2351,1894.579
346,910,2371,1910.696
347,920,2390,1926.007
348,930,2390,1926.007
349,940,2403,1936.484
350,950,2345,1889.744
351,960,2352,1895.385
352,970,2344,1888.938
353,980,2360,1901.832
354,990,2322,1871.209
355,1000,2339,1884.908
356,1010,2376,1914.725
357,1020,2396,1930.842
358,1030,2392,1927.619
359,1040,2434,1961.465
360,1050,2383,1920.366
361,1060,2398,1932.454
362,1070,2378,1916.337
363,1080,2378,1916.337
364,1090,2377,1915.531
365,1100,2383,1920.366
366,1110,2368,1908.278
367,1120,2376,1914.725
368,1130,2392,1927.619
369,1140,2403,1936.484
370,1150,2378,1916.337
371,1160,2366,1906.667
372,1170,2376,1914.725
373,1180,2384,1921.172
374,1190,2397,1931.648
375,1200,2388,1924.396
376,1210,2387,1923.590
377,1220,2386,1922.784
378,1230,2353,1896.190
379,1240,2341,1886.520
380,1250,2356,1898.608
381,1260,2359,1901.026
382,1270,2380,1917.949
383,1280,2365,1905.861
384,1290,2338,1884.103
385,1300,2344,1888.938
386,1310,2370,1909.890
387,1320,2385,1921.978
388,1330,2407,1939.707
389,1340,2377,1915.531
390,1350,2376,1914.725
391,1360,2387,1923.590
392,1370,2413,1944.542
393,1380,2415,1946.154
394,1390,2386,1922.784
395,1400,2395,1930.037
396,1410,2378,1916.337
397,1420,2376,1914.725
398,1430,2356,1898.608
399,1440,2377,1915.531
400,1450,2384,1921.172
401,1460,2386,1922.784
402,1470,2376,1914.725
403,1480,2372,1911.502
404,1490,2394,1929.231
405,1500,2424,1953.407
406,1510,2412,1943.736
407,1520,2408,1940.513
408,1530,2376,1914.725
409,1540,2379,1917.143
410,1550,2351,1894.579
411,1560,2382,1919.560
412,1570,2400,1934.066
413,1580,2389,1925.201
414,1590,2381,1918.755
415,1600,2404,1937.289
416,1610,2402,1935.678
417,1620,2411,1942.930
418,1630,2393,1928.425
419,1640,2405,1938.095
420,1650,2413,1944.542
421,1660,2390,1926.007
422,1670,2392,1927.619
423,1680,2415,1946.154
424,1690,2419,1949.377
425,1700,2381,1918.755
426,1710,2370,1909.890
427,1720,2358,1900.220
428,1730,2327,1875.238
429,1740,2336,1882.491
430,1750,2336,1882.491
431,1760,2309,1860.733
432,1770,2347,1891.355
433,1780,2324,1872.821
434,1790,2334,1880.879
435,1800,2351,1894.579
436,1810,2357,1899.414
437,1820,2386,1922.784
438,1830,2384,1921.172
439,1840,2371,1910.696
440,1850,2383,1920.366
441,1860,2382,1919.560
442,1870,2382,1919.560
443,1880,2408,1940.513
444,1890,2401,1934.872
445,1900,2403,1936.484
446,1910,2391,1926.813
447,1920,2377,1915.531
448,1930,2359,1901.026
449,1940,2363,1904.249
450,1950,2357,1899.414
451,1960,2396,1930.842
452,1970,2404,1937.289
453,1980,2352,1895.385
454,1990,2360,1901.832
455,2000,2376,1914.725
456,2010,2374,1913.114
457,2020,2390,1926.007
458,2030,2356,1898.608
459,2040,2347,1891.355
460,2050,2360,1901.832
461,2060,2335,1881.685
462,2070,2355,1897.802
463,2080,2374,1913.114
464,2090,2373,1912.308
465,2100,2398,1932.454
466,2110,2391,1926.813
467,2120,2364,1905.055
468,2130,2382,1919.560
469,2140,2360,1901.832
470,2150,2355,1897.802
471,2160,2367,1907.473
472,2170,2362,1903.443
473,2180,2368,1908.278
474,2190,2382,1919.560
475,2200,2370,1909.890
476,2210,2356,1898.608
477,2220,2358,1900.220
478,2230,2352,1895.385
479,2240,2365,1905.861
480,2250,2314,1864.762
481,2260,2315,1865.568
482,2270,2336,1882.491
483,2280,2368,1908.278
484,2290,2358,1900.220
485,2300,2359,1901.026
486,2310,2375,1913.919
487,2320,2386,1922.784
488,2330,2381,1918.755
489,2340,2357,1899.414
490,2350,2339,1884.908
491,2360,2370,1909.890
492,2370,2405,1938.095
493,2380,2397,1931.648
494,2390,2378,1916.337
495,2400,2352,1895.385
496,2410,2352,1895.385
497,2420,2379,1917.143
498,2430,2373,1912.308
499,2440,2345,1889.744
500,2450,2342,1887.326
501,2460,2366,1906.667
502,2470,2356,1898.608
503,2480,2368,1908.278
504,2490,2340,1885.714
505,2500,2332,1879.267
506,2510,2352,1895.385
507,2520,2355,1897.802
508,2530,2351,1894.579
509,2540,2342,1887.326
510,2550,2367,1907.473
511,2560,2349,1892.967
512,2570,2346,1890.549
513,2580,2322,1871.209
514,2590,2340,1885.714
515,2600,2346,1890.549
516,2610,2362,1903.443
517,2620,2403,1936.484
518,2630,2388,1924.396
519,2640,2350,1893.773
520,2650,2367,1907.473
521,2660,2376,1914.725
522,2670,2373,1912.308
523,2680,2379,1917.143
524,2690,2375,1913.919
525,2700,2363,1904.249
526,2710,2378,1916.337
527,2720,2369,1909.084
528,2730,2406,1938.901
529,2740,2428,1956.630
530,2750,2440,1966.300
531,2760,2416,1946.960
532,2770,2399,1933.260
533,2780,2410,1942.125
534,2790,2426,1955.018
535,2800,2424,1953.407
536,2810,2382,1919.560
537,2820,2381,1918.755
538,2830,2353,1896.190
539,2840,2320,1869.597
540,2850,2369,1909.084
541,2860,2361,1902.637
542,2870,2334,1880.879
543,2880,2360,1901.832
544,2890,2393,1928.425
545,2900,2388,1924.396
546,2910,2382,1919.560
547,2920,2358,1900.220
548,2930,2369,1909.084
549,2940,2368,1908.278
550,2950,2366,1906.667
551,2960,2376,1914.725
552,2970,2390,1926.007
553,2980,2380,1917.949
554,2990,2415,1946.154
555,3000,2417,1947.766
556,3010,2422,1951.795
557,3020,2423,1952.601
558,3030,2432,1959.853
559,3040,2418,1948.571
560,3050,2381,1918.755
561,3060,2422,1951.795
562,3070,2378,1916.337
563,3080,2360,1901.832
564,3090,2376,1914.725
565,3100,2368,1908.278
566,3110,2401,1934.872
567,3120,2375,1913.919
568,3130,2394,1929.231
569,3140,2366,1906.667
570,3150,2394,1929.231
571,3160,2397,1931.648
572,3170,2377,1915.531
573,3180,2352,1895.385
574,3190,2350,1893.773
575,3200,2380,1917.949
576,3210,2400,1934.066
577,3220,2392,1927.619
578,3230,2410,1942.125
579,3240,2424,1953.407
580,3250,2444,1969.524
581,3260,2443,1968.718
