sample,time_us,raw,mv
0,-2550,2404,1937.289
1,-2540,2417,1947.766
2,-2530,2453,1976.777
3,-2520,2455,1978.388
4,-2510,2454,1977.582
5,-2500,2431,1959.048
6,-2490,2443,1968.718
7,-2480,2456,1979.194
8,-2470,2442,1967.912
9,-2460,2426,1955.018
10,-2450,2417,1947.766
11,-2440,2395,1930.037
12,-2430,2422,1951.795
13,-2420,2405,1938.095
14,-2410,2409,1941.319
15,-2400,2396,1930.842
16,-2390,2413,1944.542
17,-2380,2375,1913.919
18,-2370,2384,1921.172
19,-2360,2418,1948.571
20,-2350,2389,1925.201
21,-2340,2419,1949.377
22,-2330,2420,1950.183
23,-2320,2422,1951.795
24,-2310,2415,1946.154
25,-2300,2389,1925.201
26,-2290,2400,1934.066
27,-2280,2419,1949.377
28,-2270,2421,1950.989
29,-2260,2383,1920.366
30,-2250,2405,1938.095
31,-2240,2386,1922.784
32,-2230,2367,1907.473
33,-2220,2392,1927.619
34,-2210,2359,1901.026
35,-2200,2377,1915.531
36,-2190,2381,1918.755
37,-2180,2344,1888.938
38,-2170,2385,1921.978
39,-2160,2420,1950.183
40,-2150,2445,1970.330
41,-2140,2452,1975.971
42,-2130,2430,1958.242
43,-2120,2413,1944.542
44,-2110,2436,1963.077
45,-2100,2414,1945.348
46,-2090,2426,1955.018
47,-2080,2467,1988.059
48,-2070,2437,1963.883
49,-2060,2408,1940.513
50,-2050,2389,1925.201
51,-2040,2395,1930.037
52,-2030,2394,1929.231
53,-2020,2384,1921.172
54,-2010,2372,1911.502
55,-2000,2363,1904.249
56,-1990,2370,1909.890
57,-1980,2384,1921.172
58,-1970,2372,1911.502
59,-1960,2382,1919.560
60,-1950,2386,1922.784
61,-1940,2373,1912.308
62,-1930,2404,1937.289
63,-1920,2419,1949.377
64,-1910,2427,1955.824
65,-1900,2461,1983.223
66,-1890,2428,1956.630
67,-1880,2435,1962.271
68,-1870,2464,1985.641
69,-1860,2430,1958.242
70,-1850,2386,1922.784
71,-1840,2385,1921.978
72,-1830,2400,1934.066
73,-1820,2412,1943.736
74,-1810,2409,1941.319
75,-1800,2391,1926.813
76,-1790,2392,1927.619
77,-1780,2410,1942.125
78,-1770,2432,1959.853
79,-1760,2436,1963.077
80,-1750,2391,1926.813
81,-1740,2346,1890.549
82,-1730,2376,1914.725
83,-1720,2405,1938.095
84,-1710,2400,1934.066
85,-1700,2409,1941.319
86,-1690,2424,1953.407
87,-1680,2394,1929.231
88,-1670,2403,1936.484
89,-1660,2378,1916.337
90,-1650,2356,1898.608
91,-1640,2337,1883.297
92,-1630,2358,1900.220
93,-1620,2337,1883.297
94,-1610,2304,1856.703
95,-1600,2326,1874.432
96,-1590,2321,1870.403
97,-1580,2343,1888.132
98,-1570,2375,1913.919
99,-1560,2385,1921.978
100,-1550,2363,1904.249
101,-1540,2386,1922.784
102,-1530,2402,1935.678
103,-1520,2372,1911.502
104,-1510,2383,1920.366
105,-1500,2412,1943.736
106,-1490,2416,1946.960
107,-1480,2414,1945.348
108,-1470,2444,1969.524
109,-1460,2437,1963.883
110,-1450,2431,1959.048
111,-1440,2427,1955.824
112,-1430,2422,1951.795
113,-1420,2396,1930.842
114,-1410,2401,1934.872
115,-1400,2433,1960.659
116,-1390,2436,1963.077
117,-1380,2437,1963.883
118,-1370,2417,1947.766
119,-1360,2408,1940.513
120,-1350,2428,1956.630
121,-1340,2445,1970.330
122,-1330,2463,1984.835
123,-1320,2446,1971.136
124,-1310,2446,1971.136
125,-1300,2435,1962.271
126,-1290,2420,1950.183
127,-1280,2435,1962.271
128,-1270,2406,1938.901
129,-1260,2402,1935.678
130,-1250,2402,1935.678
131,-1240,2439,1965.495
132,-1230,2410,1942.125
133,-1220,2423,1952.601
134,-1210,2408,1940.513
135,-1200,2447,1971.941
136,-1190,2432,1959.853
137,-1180,2414,1945.348
138,-1170,2411,1942.930
139,-1160,2400,1934.066
140,-1150,2392,1927.619
141,-1140,2404,1937.289
142,-1130,2428,1956.630
143,-1120,2400,1934.066
144,-1110,2412,1943.736
145,-1100,2390,1926.007
146,-1090,2416,1946.960
147,-1080,2416,1946.960
148,-1070,2395,1930.037
149,-1060,2413,1944.542
150,-1050,2393,1928.425
151,-1040,2408,1940.513
152,-1030,2416,1946.960
153,-1020,2427,1955.824
154,-1010,2434,1961.465
155,-1000,2405,1938.095
156,-990,2388,1924.396
157,-980,2401,1934.872
158,-970,2396,1930.842
159,-960,2426,1955.018
160,-950,2438,1964.689
