sample,time_us,raw,mv
0,-2550,2383,1920.366
1,-2540,2382,1919.560
2,-2530,2385,1921.978
3,-2520,2348,1892.161
4,-2510,2366,1906.667
5,-2500,2388,1924.396
6,-2490,2360,1901.832
7,-2480,2367,1907.473
8,-2470,2351,1894.579
9,-2460,2384,1921.172
10,-2450,2405,1938.095
11,-2440,2382,1919.560
12,-2430,2401,1934.872
13,-2420,2420,1950.183
14,-2410,2417,1947.766
15,-2400,2392,1927.619
16,-2390,2392,1927.619
17,-2380,2374,1913.114
18,-2370,2338,1884.103
19,-2360,2309,1860.733
20,-2350,2288,1843.810
21,-2340,2331,1878.462
22,-2330,2349,1892.967
23,-2320,2336,1882.491
24,-2310,2333,1880.073
25,-2300,2346,1890.549
26,-2290,2368,1908.278
27,-2280,2387,1923.590
28,-2270,2388,1924.396
29,-2260,2385,1921.978
30,-2250,2349,1892.967
31,-2240,2362,1903.443
32,-2230,2379,1917.143
33,-2220,2370,1909.890
34,-2210,2384,1921.172
35,-2200,2352,1895.385
36,-2190,2335,1881.685
37,-2180,2365,1905.861
38,-2170,2385,1921.978
39,-2160,2384,1921.172
40,-2150,2384,1921.172
41,-2140,2352,1895.385
42,-2130,2379,1917.143
43,-2120,2344,1888.938
44,-2110,2340,1885.714
45,-2100,2353,1896.190
46,-2090,2339,1884.908
47,-2080,2344,1888.938
48,-2070,2362,1903.443
49,-2060,2308,1859.927
50,-2050,2276,1834.139
51,-2040,2299,1852.674
52,-2030,2284,1840.586
53,-2020,2292,1847.033
54,-2010,2290,1845.421
55,-2000,2332,1879.267
56,-1990,2330,1877.656
57,-1980,2332,1879.267
58,-1970,2352,1895.385
59,-1960,2342,1887.326
60,-1950,2321,1870.403
61,-1940,2302,1855.092
62,-1930,2282,1838.974
63,-1920,2315,1865.568
64,-1910,2352,1895.385
65,-1900,2332,1879.267
66,-1890,2344,1888.938
67,-1880,2346,1890.549
68,-1870,2351,1894.579
69,-1860,2356,1898.608
70,-1850,2390,1926.007
71,-1840,2409,1941.319
72,-1830,2373,1912.308
73,-1820,2360,1901.832
74,-1810,2357,1899.414
75,-1800,2359,1901.026
76,-1790,2366,1906.667
77,-1780,2376,1914.725
78,-1770,2370,1909.890
79,-1760,2362,1903.443
80,-1750,2378,1916.337
81,-1740,2364,1905.055
82,-1730,2355,1897.802
83,-1720,2327,1875.238
84,-1710,2338,1884.103
85,-1700,2336,1882.491
86,-1690,2304,1856.703
87,-1680,2358,1900.220
88,-1670,2340,1885.714
89,-1660,2354,1896.996
90,-1650,2340,1885.714
91,-1640,2352,1895.385
92,-1630,2344,1888.938
93,-1620,2340,1885.714
94,-1610,2368,1908.278
95,-1600,2337,1883.297
96,-1590,2344,1888.938
97,-1580,2338,1884.103
98,-1570,2324,1872.821
99,-1560,2344,1888.938
100,-1550,2345,1889.744
101,-1540,2322,1871.209
102,-1530,2330,1877.656
103,-1520,2352,1895.385
104,-1510,2348,1892.161
105,-1500,2328,1876.044
106,-1490,2317,1867.179
107,-1480,2349,1892.967
108,-1470,2408,1940.513
109,-1460,2372,1911.502
110,-1450,2415,1946.154
111,-1440,2410,1942.125
112,-1430,2390,1926.007
113,-1420,2401,1934.872
114,-1410,2368,1908.278
115,-1400,2365,1905.861
116,-1390,2377,1915.531
117,-1380,2376,1914.725
118,-1370,2357,1899.414
119,-1360,2341,1886.520
120,-1350,2370,1909.890
121,-1340,2376,1914.725
122,-1330,2369,1909.084
123,-1320,2349,1892.967
124,-1310,2358,1900.220
125,-1300,2373,1912.308
126,-1290,2387,1923.590
127,-1280,2385,1921.978
128,-1270,2378,1916.337
129,-1260,2361,1902.637
130,-1250,2360,1901.832
131,-1240,2341,1886.520
132,-1230,2356,1898.608
