sample,time_us,raw,mv
0,-2550,2471,1991.282
1,-2540,2457,1980.000
2,-2530,2455,1978.388
3,-2520,2436,1963.077
4,-2510,2444,1969.524
5,-2500,2440,1966.300
6,-2490,2412,1943.736
7,-2480,2447,1971.941
8,-2470,2429,1957.436
9,-2460,2425,1954.212
10,-2450,2445,1970.330
11,-2440,2399,1933.260
12,-2430,2386,1922.784
13,-2420,2399,1933.260
14,-2410,2404,1937.289
15,-2400,2397,1931.648
16,-2390,2423,1952.601
17,-2380,2416,1946.960
18,-2370,2413,1944.542
19,-2360,2429,1957.436
20,-2350,2422,1951.795
21,-2340,2449,1973.553
22,-2330,2459,1981.612
23,-2320,2448,1972.747
24,-2310,2413,1944.542
25,-2300,2428,1956.630
26,-2290,2435,1962.271
27,-2280,2428,1956.630
28,-2270,2425,1954.212
29,-2260,2474,1993.700
30,-2250,2468,1988.864
31,-2240,2449,1973.553
32,-2230,2444,1969.524
33,-2220,2432,1959.853
34,-2210,2450,1974.359
35,-2200,2462,1984.029
36,-2190,2508,2021.099
37,-2180,2489,2005.788
38,-2170,2510,2022.711
39,-2160,2498,2013.040
40,-2150,2490,2006.593
41,-2140,2473,1992.894
42,-2130,2440,1966.300
43,-2120,2445,1970.330
44,-2110,2426,1955.018
45,-2100,2430,1958.242
46,-2090,2468,1988.864
47,-2080,2480,1998.535
48,-2070,2479,1997.729
49,-2060,2465,1986.447
50,-2050,2448,1972.747
51,-2040,2451,1975.165
52,-2030,2446,1971.136
53,-2020,2426,1955.018
54,-2010,2437,1963.883
55,-2000,2451,1975.165
56,-1990,2448,1972.747
57,-1980,2458,1980.806
58,-1970,2460,1982.418
59,-1960,2465,1986.447
60,-1950,2468,1988.864
61,-1940,2434,1961.465
62,-1930,2444,1969.524
63,-1920,2442,1967.912
64,-1910,2434,1961.465
65,-1900,2427,1955.824
66,-1890,2437,1963.883
67,-1880,2441,1967.106
68,-1870,2460,1982.418
69,-1860,2433,1960.659
70,-1850,2448,1972.747
71,-1840,2432,1959.853
72,-1830,2462,1984.029
73,-1820,2461,1983.223
74,-1810,2459,1981.612
75,-1800,2446,1971.136
76,-1790,2445,1970.330
77,-1780,2405,1938.095
78,-1770,2424,1953.407
79,-1760,2425,1954.212
80,-1750,2411,1942.930
81,-1740,2365,1905.861
82,-1730,2352,1895.385
83,-1720,2370,1909.890
84,-1710,2396,1930.842
85,-1700,2413,1944.542
86,-1690,2410,1942.125
87,-1680,2426,1955.018
88,-1670,2435,1962.271
89,-1660,2456,1979.194
90,-1650,2444,1969.524
91,-1640,2468,1988.864
92,-1630,2472,1992.088
93,-1620,2456,1979.194
94,-1610,2468,1988.864
95,-1600,2438,1964.689
96,-1590,2448,1972.747
97,-1580,2438,1964.689
98,-1570,2404,1937.289
99,-1560,2404,1937.289
100,-1550,2450,1974.359
101,-1540,2432,1959.853
102,-1530,2456,1979.194
103,-1520,2460,1982.418
104,-1510,2435,1962.271
105,-1500,2445,1970.330
106,-1490,2481,1999.341
107,-1480,2504,2017.875
108,-1470,2486,2003.370
109,-1460,2468,1988.864
110,-1450,2477,1996.117
111,-1440,2494,2009.817
112,-1430,2458,1980.806
113,-1420,2438,1964.689
114,-1410,2450,1974.359
115,-1400,2436,1963.077
116,-1390,2443,1968.718
117,-1380,2464,1985.641
118,-1370,2422,1951.795
119,-1360,2408,1940.513
120,-1350,2430,1958.242
121,-1340,2424,1953.407
122,-1330,2383,1920.366
123,-1320,2401,1934.872
124,-1310,2395,1930.037
125,-1300,2396,1930.842
126,-1290,2436,1963.077
127,-1280,2425,1954.212
128,-1270,2408,1940.513
129,-1260,2433,1960.659
130,-1250,2469,1989.670
131,-1240,2482,2000.147
132,-1230,2475,1994.505
133,-1220,2478,1996.923
134,-1210,2476,1995.311
135,-1200,2424,1953.407
136,-1190,2417,1947.766
137,-1180,2400,1934.066
138,-1170,2383,1920.366
139,-1160,2379,1917.143
140,-1150,2401,1934.872
141,-1140,2377,1915.531
142,-1130,2395,1930.037
143,-1120,2396,1930.842
144,-1110,2409,1941.319
145,-1100,2392,1927.619
146,-1090,2426,1955.018
147,-1080,2424,1953.407
148,-1070,2421,1950.989
149,-1060,2419,1949.377
150,-1050,2400,1934.066
151,-1040,2422,1951.795
152,-1030,2408,1940.513
153,-1020,2398,1932.454
154,-1010,2410,1942.125
155,-1000,2413,1944.542
156,-990,2393,1928.425
157,-980,2388,1924.396
158,-970,2422,1951.795
159,-960,2427,1955.824
160,-950,2460,1982.418
161,-940,2441,1967.106
162,-930,2434,1961.465
163,-920,2449,1973.553
164,-910,2447,1971.941
165,-900,2466,1987.253
166,-890,2442,1967.912
167,-880,2421,1950.989
168,-870,2433,1960.659
169,-860,2437,1963.883
170,-850,2412,1943.736
171,-840,2404,1937.289
172,-830,2389,1925.201
