sample,time_us,raw,mv
0,-2550,2362,1903.443
1,-2540,2365,1905.861
2,-2530,2357,1899.414
3,-2520,2366,1906.667
4,-2510,2381,1918.755
5,-2500,2384,1921.172
6,-2490,2380,1917.949
7,-2480,2362,1903.443
8,-2470,2360,1901.832
9,-2460,2350,1893.773
10,-2450,2352,1895.385
11,-2440,2375,1913.919
12,-2430,2381,1918.755
13,-2420,2353,1896.190
14,-2410,2361,1902.637
15,-2400,2340,1885.714
16,-2390,2353,1896.190
17,-2380,2370,1909.890
18,-2370,2364,1905.055
19,-2360,2368,1908.278
20,-2350,2373,1912.308
21,-2340,2396,1930.842
22,-2330,2416,1946.960
23,-2320,2398,1932.454
24,-2310,2369,1909.084
25,-2300,2362,1903.443
26,-2290,2385,1921.978
27,-2280,2357,1899.414
28,-2270,2363,1904.249
29,-2260,2359,1901.026
30,-2250,2348,1892.161
31,-2240,2327,1875.238
32,-2230,2312,1863.150
33,-2220,2344,1888.938
34,-2210,2347,1891.355
35,-2200,2330,1877.656
36,-2190,2328,1876.044
37,-2180,2326,1874.432
38,-2170,2322,1871.209
39,-2160,2325,1873.626
40,-2150,2342,1887.326
41,-2140,2353,1896.190
42,-2130,2370,1909.890
43,-2120,2374,1913.114
44,-2110,2386,1922.784
45,-2100,2362,1903.443
46,-2090,2366,1906.667
47,-2080,2346,1890.549
48,-2070,2328,1876.044
49,-2060,2363,1904.249
50,-2050,2349,1892.967
51,-2040,2325,1873.626
52,-2030,2357,1899.414
53,-2020,2387,1923.590
54,-2010,2421,1950.989
55,-2000,2437,1963.883
56,-1990,2421,1950.989
57,-1980,2387,1923.590
58,-1970,2396,1930.842
59,-1960,2377,1915.531
60,-1950,2385,1921.978
61,-1940,2366,1906.667
62,-1930,2361,1902.637
63,-1920,2360,1901.832
64,-1910,2345,1889.744
65,-1900,2337,1883.297
66,-1890,2292,1847.033
67,-1880,2296,1850.256
68,-1870,2325,1873.626
69,-1860,2332,1879.267
70,-1850,2334,1880.879
71,-1840,2369,1909.084
72,-1830,2349,1892.967
73,-1820,2322,1871.209
74,-1810,2293,1847.839
75,-1800,2315,1865.568
76,-1790,2332,1879.267
77,-1780,2356,1898.608
78,-1770,2360,1901.832
79,-1760,2299,1852.674
80,-1750,2319,1868.791
81,-1740,2323,1872.015
82,-1730,2357,1899.414
83,-1720,2378,1916.337
84,-1710,2362,1903.443
85,-1700,2365,1905.861
86,-1690,2341,1886.520
87,-1680,2314,1864.762
88,-1670,2340,1885.714
89,-1660,2345,1889.744
90,-1650,2377,1915.531
91,-1640,2376,1914.725
92,-1630,2310,1861.538
93,-1620,2318,1867.985
94,-1610,2346,1890.549
95,-1600,2338,1884.103
96,-1590,2348,1892.161
97,-1580,2368,1908.278
98,-1570,2328,1876.044
99,-1560,2321,1870.403
100,-1550,2351,1894.579
101,-1540,2364,1905.055
102,-1530,2363,1904.249
103,-1520,2372,1911.502
104,-1510,2361,1902.637
105,-1500,2368,1908.278
106,-1490,2370,1909.890
107,-1480,2368,1908.278
108,-1470,2378,1916.337
109,-1460,2391,1926.813
110,-1450,2378,1916.337
111,-1440,2353,1896.190
112,-1430,2363,1904.249
113,-1420,2346,1890.549
114,-1410,2356,1898.608
115,-1400,2373,1912.308
116,-1390,2353,1896.190
117,-1380,2338,1884.103
118,-1370,2374,1913.114
119,-1360,2403,1936.484
120,-1350,2392,1927.619
121,-1340,2392,1927.619
122,-1330,2366,1906.667
123,-1320,2369,1909.084
124,-1310,2388,1924.396
125,-1300,2388,1924.396
126,-1290,2341,1886.520
127,-1280,2365,1905.861
128,-1270,2318,1867.985
129,-1260,2350,1893.773
130,-1250,2331,1878.462
131,-1240,2310,1861.538
132,-1230,2327,1875.238
133,-1220,2297,1851.062
134,-1210,2318,1867.985
135,-1200,2317,1867.179
136,-1190,2304,1856.703
137,-1180,2340,1885.714
138,-1170,2352,1895.385
139,-1160,2327,1875.238
140,-1150,2293,1847.839
141,-1140,2262,1822.857
142,-1130,2305,1857.509
143,-1120,2300,1853.480
144,-1110,2352,1895.385
145,-1100,2377,1915.531
146,-1090,2373,1912.308
147,-1080,2350,1893.773
148,-1070,2346,1890.549
