sample,time_us,raw,mv
0,-2550,2488,2004.982
1,-2540,2462,1984.029
2,-2530,2478,1996.923
3,-2520,2499,2013.846
4,-2510,2481,1999.341
5,-2500,2418,1948.571
6,-2490,2412,1943.736
7,-2480,2445,1970.330
8,-2470,2470,1990.476
9,-2460,2440,1966.300
10,-2450,2432,1959.853
11,-2440,2438,1964.689
12,-2430,2448,1972.747
13,-2420,2461,1983.223
14,-2410,2482,2000.147
15,-2400,2481,1999.341
16,-2390,2448,1972.747
17,-2380,2448,1972.747
18,-2370,2446,1971.136
19,-2360,2460,1982.418
20,-2350,2446,1971.136
21,-2340,2405,1938.095
22,-2330,2418,1948.571
23,-2320,2416,1946.960
24,-2310,2418,1948.571
25,-2300,2416,1946.960
26,-2290,2432,1959.853
27,-2280,2430,1958.242
28,-2270,2440,1966.300
29,-2260,2455,1978.388
30,-2250,2415,1946.154
31,-2240,2435,1962.271
32,-2230,2441,1967.106
33,-2220,2430,1958.242
34,-2210,2418,1948.571
35,-2200,2444,1969.524
36,-2190,2450,1974.359
37,-2180,2460,1982.418
38,-2170,2464,1985.641
39,-2160,2457,1980.000
40,-2150,2449,1973.553
41,-2140,2464,1985.641
42,-2130,2476,1995.311
43,-2120,2471,1991.282
44,-2110,2458,1980.806
45,-2100,2437,1963.883
46,-2090,2431,1959.048
47,-2080,2472,1992.088
48,-2070,2466,1987.253
49,-2060,2437,1963.883
50,-2050,2437,1963.883
51,-2040,2421,1950.989
52,-2030,2424,1953.407
53,-2020,2426,1955.018
54,-2010,2430,1958.242
55,-2000,2438,1964.689
56,-1990,2429,1957.436
57,-1980,2456,1979.194
58,-1970,2488,2004.982
59,-1960,2492,2008.205
60,-1950,2478,1996.923
61,-1940,2455,1978.388
62,-1930,2441,1967.106
63,-1920,2440,1966.300
64,-1910,2439,1965.495
65,-1900,2438,1964.689
66,-1890,2436,1963.077
67,-1880,2443,1968.718
68,-1870,2452,1975.971
69,-1860,2453,1976.777
70,-1850,2463,1984.835
