sample,time_us,raw,mv
0,-2550,2378,1916.337
1,-2540,2332,1879.267
2,-2530,2286,1842.198
3,-2520,2304,1856.703
4,-2510,2293,1847.839
5,-2500,2304,1856.703
6,-2490,2329,1876.850
7,-2480,2346,1890.549
8,-2470,2346,1890.549
9,-2460,2358,1900.220
10,-2450,2368,1908.278
11,-2440,2369,1909.084
12,-2430,2376,1914.725
13,-2420,2348,1892.161
14,-2410,2277,1834.945
15,-2400,2328,1876.044
16,-2390,2350,1893.773
17,-2380,2365,1905.861
18,-2370,2389,1925.201
19,-2360,2384,1921.172
20,-2350,2403,1936.484
21,-2340,2403,1936.484
22,-2330,2393,1928.425
23,-2320,2408,1940.513
24,-2310,2413,1944.542
25,-2300,2427,1955.824
26,-2290,2428,1956.630
27,-2280,2440,1966.300
28,-2270,2460,1982.418
29,-2260,2406,1938.901
30,-2250,2409,1941.319
31,-2240,2404,1937.289
32,-2230,2389,1925.201
33,-2220,2382,1919.560
34,-2210,2369,1909.084
35,-2200,2369,1909.084
36,-2190,2366,1906.667
37,-2180,2381,1918.755
38,-2170,2394,1929.231
39,-2160,2422,1951.795
40,-2150,2429,1957.436
41,-2140,2419,1949.377
42,-2130,2426,1955.018
43,-2120,2412,1943.736
44,-2110,2397,1931.648
45,-2100,2397,1931.648
46,-2090,2384,1921.172
47,-2080,2422,1951.795
48,-2070,2397,1931.648
49,-2060,2388,1924.396
50,-2050,2408,1940.513
51,-2040,2404,1937.289
52,-2030,2423,1952.601
53,-2020,2395,1930.037
54,-2010,2399,1933.260
55,-2000,2401,1934.872
56,-1990,2378,1916.337
57,-1980,2371,1910.696
58,-1970,2366,1906.667
59,-1960,2349,1892.967
60,-1950,2360,1901.832
61,-1940,2360,1901.832
62,-1930,2402,1935.678
63,-1920,2418,1948.571
64,-1910,2386,1922.784
65,-1900,2391,1926.813
66,-1890,2374,1913.114
67,-1880,2360,1901.832
68,-1870,2373,1912.308
69,-1860,2368,1908.278
70,-1850,2346,1890.549
71,-1840,2372,1911.502
72,-1830,2381,1918.755
73,-1820,2369,1909.084
74,-1810,2374,1913.114
75,-1800,2400,1934.066
76,-1790,2392,1927.619
77,-1780,2399,1933.260
78,-1770,2387,1923.590
79,-1760,2388,1924.396
80,-1750,2410,1942.125
81,-1740,2412,1943.736
82,-1730,2410,1942.125
83,-1720,2415,1946.154
84,-1710,2430,1958.242
85,-1700,2402,1935.678
86,-1690,2369,1909.084
87,-1680,2347,1891.355
88,-1670,2416,1946.960
89,-1660,2423,1952.601
90,-1650,2438,1964.689
91,-1640,2441,1967.106
92,-1630,2421,1950.989
93,-1620,2416,1946.960
94,-1610,2405,1938.095
95,-1600,2409,1941.319
96,-1590,2395,1930.037
97,-1580,2414,1945.348
98,-1570,2417,1947.766
99,-1560,2410,1942.125
100,-1550,2405,1938.095
101,-1540,2418,1948.571
102,-1530,2407,1939.707
103,-1520,2401,1934.872
104,-1510,2420,1950.183
105,-1500,2395,1930.037
106,-1490,2408,1940.513
107,-1480,2399,1933.260
108,-1470,2402,1935.678
109,-1460,2379,1917.143
110,-1450,2415,1946.154
111,-1440,2406,1938.901
112,-1430,2392,1927.619
113,-1420,2422,1951.795
114,-1410,2440,1966.300
115,-1400,2425,1954.212
116,-1390,2430,1958.242
117,-1380,2460,1982.418
118,-1370,2444,1969.524
119,-1360,2396,1930.842
120,-1350,2394,1929.231
121,-1340,2397,1931.648
122,-1330,2400,1934.066
123,-1320,2418,1948.571
124,-1310,2433,1960.659
125,-1300,2400,1934.066
126,-1290,2388,1924.396
127,-1280,2408,1940.513
128,-1270,2425,1954.212
129,-1260,2422,1951.795
130,-1250,2385,1921.978
131,-1240,2361,1902.637
132,-1230,2394,1929.231
133,-1220,2415,1946.154
134,-1210,2406,1938.901
135,-1200,2432,1959.853
136,-1190,2454,1977.582
137,-1180,2445,1970.330
