sample,time_us,raw,mv
0,-2550,2348,1892.161
1,-2540,2346,1890.549
2,-2530,2343,1888.132
3,-2520,2354,1896.996
4,-2510,2353,1896.190
5,-2500,2348,1892.161
6,-2490,2364,1905.055
7,-2480,2347,1891.355
8,-2470,2344,1888.938
9,-2460,2360,1901.832
10,-2450,2338,1884.103
11,-2440,2357,1899.414
12,-2430,2356,1898.608
13,-2420,2332,1879.267
14,-2410,2310,1861.538
15,-2400,2284,1840.586
16,-2390,2340,1885.714
17,-2380,2356,1898.608
18,-2370,2365,1905.861
19,-2360,2370,1909.890
20,-2350,2392,1927.619
21,-2340,2380,1917.949
22,-2330,2395,1930.037
23,-2320,2416,1946.960
24,-2310,2390,1926.007
25,-2300,2395,1930.037
26,-2290,2407,1939.707
27,-2280,2410,1942.125
28,-2270,2366,1906.667
29,-2260,2380,1917.949
30,-2250,2392,1927.619
31,-2240,2425,1954.212
32,-2230,2413,1944.542
33,-2220,2415,1946.154
34,-2210,2388,1924.396
35,-2200,2382,1919.560
36,-2190,2385,1921.978
37,-2180,2368,1908.278
38,-2170,2375,1913.919
39,-2160,2380,1917.949
40,-2150,2356,1898.608
41,-2140,2371,1910.696
42,-2130,2336,1882.491
43,-2120,2356,1898.608
44,-2110,2337,1883.297
45,-2100,2330,1877.656
46,-2090,2366,1906.667
47,-2080,2349,1892.967
48,-2070,2321,1870.403
49,-2060,2365,1905.861
50,-2050,2376,1914.725
51,-2040,2358,1900.220
52,-2030,2356,1898.608
53,-2020,2400,1934.066
54,-2010,2400,1934.066
55,-2000,2381,1918.755
56,-1990,2418,1948.571
57,-1980,2408,1940.513
58,-1970,2386,1922.784
59,-1960,2381,1918.755
60,-1950,2373,1912.308
61,-1940,2391,1926.813
62,-1930,2401,1934.872
63,-1920,2405,1938.095
64,-1910,2396,1930.842
65,-1900,2345,1889.744
66,-1890,2373,1912.308
67,-1880,2370,1909.890
68,-1870,2355,1897.802
69,-1860,2364,1905.055
70,-1850,2346,1890.549
71,-1840,2380,1917.949
72,-1830,2396,1930.842
73,-1820,2366,1906.667
74,-1810,2371,1910.696
75,-1800,2353,1896.190
76,-1790,2369,1909.084
77,-1780,2368,1908.278
78,-1770,2332,1879.267
79,-1760,2363,1904.249
80,-1750,2382,1919.560
81,-1740,2384,1921.172
82,-1730,2377,1915.531
83,-1720,2400,1934.066
84,-1710,2406,1938.901
85,-1700,2401,1934.872
86,-1690,2396,1930.842
87,-1680,2422,1951.795
88,-1670,2416,1946.960
89,-1660,2416,1946.960
90,-1650,2412,1943.736
91,-1640,2399,1933.260
92,-1630,2367,1907.473
93,-1620,2369,1909.084
94,-1610,2398,1932.454
95,-1600,2396,1930.842
96,-1590,2397,1931.648
97,-1580,2396,1930.842
98,-1570,2372,1911.502
99,-1560,2368,1908.278
100,-1550,2351,1894.579
101,-1540,2342,1887.326
102,-1530,2360,1901.832
103,-1520,2392,1927.619
104,-1510,2395,1930.037
105,-1500,2400,1934.066
106,-1490,2411,1942.930
107,-1480,2419,1949.377
108,-1470,2400,1934.066
109,-1460,2364,1905.055
110,-1450,2385,1921.978
111,-1440,2358,1900.220
112,-1430,2382,1919.560
113,-1420,2418,1948.571
114,-1410,2400,1934.066
115,-1400,2386,1922.784
116,-1390,2396,1930.842
117,-1380,2396,1930.842
118,-1370,2405,1938.095
119,-1360,2369,1909.084
120,-1350,2379,1917.143
121,-1340,2405,1938.095
122,-1330,2388,1924.396
123,-1320,2414,1945.348
124,-1310,2392,1927.619
125,-1300,2393,1928.425
126,-1290,2415,1946.154
127,-1280,2437,1963.883
128,-1270,2415,1946.154
129,-1260,2408,1940.513
130,-1250,2410,1942.125
131,-1240,2434,1961.465
132,-1230,2450,1974.359
133,-1220,2462,1984.029
134,-1210,2437,1963.883
135,-1200,2420,1950.183
136,-1190,2416,1946.960
137,-1180,2394,1929.231
138,-1170,2377,1915.531
139,-1160,2313,1863.956
140,-1150,2348,1892.161
141,-1140,2362,1903.443
142,-1130,2388,1924.396
