sample,time_us,raw,mv
0,-2550,2487,2004.176
1,-2540,2466,1987.253
2,-2530,2492,2008.205
3,-2520,2505,2018.681
4,-2510,2510,2022.711
5,-2500,2503,2017.070
6,-2490,2476,1995.311
7,-2480,2483,2000.952
8,-2470,2448,1972.747
9,-2460,2448,1972.747
10,-2450,2455,1978.388
11,-2440,2445,1970.330
12,-2430,2467,1988.059
13,-2420,2466,1987.253
14,-2410,2447,1971.941
15,-2400,2445,1970.330
16,-2390,2453,1976.777
17,-2380,2462,1984.029
18,-2370,2476,1995.311
19,-2360,2486,2003.370
20,-2350,2470,1990.476
21,-2340,2462,1984.029
22,-2330,2454,1977.582
23,-2320,2502,2016.264
24,-2310,2484,2001.758
25,-2300,2484,2001.758
26,-2290,2509,2021.905
27,-2280,2488,2004.982
28,-2270,2500,2014.652
29,-2260,2480,1998.535
30,-2250,2483,2000.952
31,-2240,2479,1997.729
32,-2230,2458,1980.806
33,-2220,2462,1984.029
34,-2210,2468,1988.864
35,-2200,2471,1991.282
36,-2190,2450,1974.359
37,-2180,2443,1968.718
38,-2170,2438,1964.689
39,-2160,2464,1985.641
40,-2150,2474,1993.700
41,-2140,2462,1984.029
42,-2130,2476,1995.311
43,-2120,2480,1998.535
44,-2110,2478,1996.923
45,-2100,2460,1982.418
46,-2090,2462,1984.029
47,-2080,2468,1988.864
48,-2070,2459,1981.612
49,-2060,2466,1987.253
50,-2050,2437,1963.883
51,-2040,2493,2009.011
52,-2030,2488,2004.982
53,-2020,2474,1993.700
54,-2010,2470,1990.476
55,-2000,2496,2011.429
56,-1990,2489,2005.788
57,-1980,2506,2019.487
58,-1970,2482,2000.147
59,-1960,2460,1982.418
60,-1950,2465,1986.447
61,-1940,2452,1975.971
62,-1930,2444,1969.524
63,-1920,2435,1962.271
64,-1910,2456,1979.194
65,-1900,2461,1983.223
66,-1890,2454,1977.582
67,-1880,2499,2013.846
68,-1870,2458,1980.806
69,-1860,2474,1993.700
70,-1850,2469,1989.670
71,-1840,2462,1984.029
72,-1830,2462,1984.029
73,-1820,2448,1972.747
74,-1810,2435,1962.271
75,-1800,2478,1996.923
76,-1790,2490,2006.593
77,-1780,2507,2020.293
78,-1770,2497,2012.234
79,-1760,2503,2017.070
80,-1750,2490,2006.593
81,-1740,2513,2025.128
82,-1730,2535,2042.857
83,-1720,2540,2046.886
84,-1710,2509,2021.905
85,-1700,2518,2029.158
86,-1690,2537,2044.469
87,-1680,2543,2049.304
88,-1670,2520,2030.769
89,-1660,2510,2022.711
90,-1650,2515,2026.740
91,-1640,2516,2027.546
92,-1630,2511,2023.516
93,-1620,2500,2014.652
94,-1610,2503,2017.070
95,-1600,2492,2008.205
96,-1590,2494,2009.817
97,-1580,2487,2004.176
98,-1570,2474,1993.700
99,-1560,2476,1995.311
100,-1550,2479,1997.729
101,-1540,2474,1993.700
102,-1530,2463,1984.835
103,-1520,2469,1989.670
104,-1510,2476,1995.311
105,-1500,2492,2008.205
106,-1490,2510,2022.711
107,-1480,2520,2030.769
108,-1470,2514,2025.934
109,-1460,2532,2040.440
110,-1450,2462,1984.029
111,-1440,2460,1982.418
112,-1430,2453,1976.777
113,-1420,2462,1984.029
114,-1410,2460,1982.418
115,-1400,2437,1963.883
116,-1390,2446,1971.136
117,-1380,2461,1983.223
118,-1370,2464,1985.641
119,-1360,2466,1987.253
120,-1350,2470,1990.476
121,-1340,2457,1980.000
122,-1330,2464,1985.641
123,-1320,2462,1984.029
124,-1310,2495,2010.623
125,-1300,2472,1992.088
126,-1290,2450,1974.359
127,-1280,2438,1964.689
128,-1270,2456,1979.194
129,-1260,2425,1954.212
130,-1250,2422,1951.795
131,-1240,2427,1955.824
132,-1230,2424,1953.407
133,-1220,2466,1987.253
134,-1210,2464,1985.641
135,-1200,2448,1972.747
136,-1190,2470,1990.476
137,-1180,2502,2016.264
138,-1170,2503,2017.070
139,-1160,2508,2021.099
140,-1150,2474,1993.700
141,-1140,2481,1999.341
142,-1130,2470,1990.476
143,-1120,2480,1998.535
144,-1110,2473,1992.894
145,-1100,2471,1991.282
146,-1090,2506,2019.487
147,-1080,2496,2011.429
148,-1070,2488,2004.982
149,-1060,2500,2014.652
150,-1050,2508,2021.099
151,-1040,2488,2004.982
152,-1030,2488,2004.982
153,-1020,2470,1990.476
154,-1010,2424,1953.407
155,-1000,2435,1962.271
156,-990,2414,1945.348
157,-980,2408,1940.513
158,-970,2403,1936.484
159,-960,2414,1945.348
160,-950,2394,1929.231
161,-940,2409,1941.319
162,-930,2397,1931.648
163,-920,2370,1909.890
164,-910,2384,1921.172
165,-900,2378,1916.337
166,-890,2361,1902.637
167,-880,2416,1946.960
168,-870,2444,1969.524
169,-860,2464,1985.641
170,-850,2464,1985.641
171,-840,2478,1996.923
172,-830,2448,1972.747
173,-820,2457,1980.000
174,-810,2453,1976.777
175,-800,2484,2001.758
176,-790,2500,2014.652
177,-780,2460,1982.418
178,-770,2414,1945.348
179,-760,2422,1951.795
180,-750,2423,1952.601
181,-740,2427,1955.824
182,-730,2420,1950.183
183,-720,2388,1924.396
184,-710,2407,1939.707
185,-700,2392,1927.619
186,-690,2424,1953.407
187,-680,2436,1963.077
188,-670,2456,1979.194
189,-660,2448,1972.747
190,-650,2454,1977.582
191,-640,2462,1984.029
192,-630,2488,2004.982
193,-620,2460,1982.418
194,-610,2447,1971.941
195,-600,2465,1986.447
196,-590,2468,1988.864
197,-580,2447,1971.941
198,-570,2416,1946.960
199,-560,2396,1930.842
200,-550,2414,1945.348
201,-540,2453,1976.777
202,-530,2437,1963.883
203,-520,2423,1952.601
204,-510,2441,1967.106
205,-500,2426,1955.018
206,-490,2450,1974.359
207,-480,2479,1997.729
208,-470,2486,2003.370
209,-460,2450,1974.359
210,-450,2454,1977.582
211,-440,2466,1987.253
212,-430,2448,1972.747
213,-420,2440,1966.300
214,-410,2461,1983.223
215,-400,2504,2017.875
216,-390,2498,2013.040
217,-380,2477,1996.117
218,-370,2480,1998.535
219,-360,2484,2001.758
220,-350,2501,2015.458
221,-340,2492,2008.205
222,-330,2483,2000.952
223,-320,2432,1959.853
224,-310,2426,1955.018
225,-300,2432,1959.853
226,-290,2408,1940.513
227,-280,2402,1935.678
228,-270,2413,1944.542
229,-260,2408,1940.513
230,-250,2434,1961.465
231,-240,2429,1957.436
232,-230,2430,1958.242
233,-220,2398,1932.454
234,-210,2436,1963.077
235,-200,2443,1968.718
236,-190,2455,1978.388
237,-180,2468,1988.864
238,-170,2430,1958.242
239,-160,2418,1948.571
240,-150,2456,1979.194
241,-140,2488,2004.982
242,-130,2482,2000.147
243,-120,2448,1972.747
244,-110,2461,1983.223
245,-100,2450,1974.359
246,-90,2473,1992.894
247,-80,2488,2004.982
248,-70,2481,1999.341
249,-60,2486,2003.370
250,-50,2503,2017.070
251,-40,2488,2004.982
252,-30,2108,1698.755
253,-20,2181,1757.582
